name,time,bandwidth,throughput,traffic
kpi_tcp,1563369583000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369573000000000,9.89132e+07,111280128,tcp_100M
kpi_tcp,1563369563000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563369553000000000,4.08396e+08,459452962,tcp_1000M
kpi_tcp,1563369543000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563369533000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369524000000000,9.90295e+07,111411200,tcp_100M
kpi_tcp,1563369513000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563369504000000000,4.00137e+08,450165446,tcp_1000M
kpi_tcp,1563369493000000000,1.48684e+08,185860096,tcp_150M
kpi_tcp,1563369484000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369474000000000,9.89132e+07,111280128,tcp_100M
kpi_tcp,1563369464000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563369454000000000,4.18235e+08,470520326,tcp_1000M
kpi_tcp,1563369444000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563369434000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369425000000000,9.89134e+07,111280128,tcp_100M
kpi_tcp,1563369413000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369403000000000,4.03591e+08,454044774,tcp_1000M
kpi_tcp,1563369393000000000,1.48579e+08,185729024,tcp_150M
kpi_tcp,1563369383000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369374000000000,9.89134e+07,111280128,tcp_100M
kpi_tcp,1563369363000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563369354000000000,4.12204e+08,463740038,tcp_1000M
kpi_tcp,1563369343000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563369334000000000,1.04856e+06,1179648,tcp_5M
kpi_tcp,1563369324000000000,9.90297e+07,111411200,tcp_100M
kpi_tcp,1563369313000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369304000000000,3.98928e+08,448800998,tcp_1000M
kpi_tcp,1563369294000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563369284000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369275000000000,9.91466e+07,111542272,tcp_100M
kpi_tcp,1563369264000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369254000000000,4.08011e+08,459019232,tcp_1000M
kpi_tcp,1563369244000000000,1.48895e+08,186122240,tcp_150M
kpi_tcp,1563369234000000000,1.04854e+06,1179648,tcp_5M
kpi_tcp,1563369225000000000,9.89123e+07,111280128,tcp_100M
kpi_tcp,1563369214000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369205000000000,3.98497e+08,448314494,tcp_1000M
kpi_tcp,1563369194000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563369185000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369175000000000,9.90298e+07,111411200,tcp_100M
kpi_tcp,1563369164000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369155000000000,4.01082e+08,451222334,tcp_1000M
kpi_tcp,1563369145000000000,1.48895e+08,186122240,tcp_150M
kpi_tcp,1563369135000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369126000000000,9.89131e+07,111280128,tcp_100M
kpi_tcp,1563369113000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369104000000000,3.98403e+08,448209644,tcp_1000M
kpi_tcp,1563369094000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563369084000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369075000000000,9.89126e+07,111280128,tcp_100M
kpi_tcp,1563369063000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369053000000000,4.23974e+08,476976978,tcp_1000M
kpi_tcp,1563369043000000000,1.48579e+08,185729024,tcp_150M
kpi_tcp,1563369033000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369024000000000,9.90299e+07,111411200,tcp_100M
kpi_tcp,1563369013000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563369003000000000,3.98451e+08,448265164,tcp_1000M
kpi_tcp,1563368993000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563368983000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368974000000000,9.89134e+07,111280128,tcp_100M
kpi_tcp,1563368963000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563368954000000000,4.04858e+08,455472974,tcp_1000M
kpi_tcp,1563368943000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563368934000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368924000000000,9.90303e+07,111411200,tcp_100M
kpi_tcp,1563368914000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368904000000000,3.99362e+08,449287894,tcp_1000M
kpi_tcp,1563368894000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563368884000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368875000000000,9.89134e+07,111280128,tcp_100M
kpi_tcp,1563368864000000000,1.48892e+07,18612224,tcp_15M
kpi_tcp,1563368854000000000,4.1469e+08,466538448,tcp_1000M
kpi_tcp,1563368844000000000,1.48579e+08,185729024,tcp_150M
kpi_tcp,1563368835000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368825000000000,9.89134e+07,111280128,tcp_100M
kpi_tcp,1563368813000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368804000000000,4.01137e+08,451283846,tcp_1000M
kpi_tcp,1563368793000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563368784000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368775000000000,9.89127e+07,111280128,tcp_100M
kpi_tcp,1563368763000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563368754000000000,3.88669e+08,437257838,tcp_1000M
kpi_tcp,1563368744000000000,1.48579e+08,185729024,tcp_150M
kpi_tcp,1563368734000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368725000000000,9.8913e+07,111280128,tcp_100M
kpi_tcp,1563368714000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368704000000000,4.08517e+08,459586808,tcp_1000M
kpi_tcp,1563368694000000000,1.48578e+08,185729024,tcp_150M
kpi_tcp,1563368685000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368675000000000,9.89135e+07,111280128,tcp_100M
kpi_tcp,1563368665000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368655000000000,4.01711e+08,451926926,tcp_1000M
kpi_tcp,1563368645000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563368635000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368626000000000,9.89133e+07,111280128,tcp_100M
kpi_tcp,1563368615000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368606000000000,4.04654e+08,455242982,tcp_1000M
kpi_tcp,1563368595000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563368586000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368576000000000,9.8913e+07,111280128,tcp_100M
kpi_tcp,1563368565000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563368555000000000,4.10894e+08,462262808,tcp_1000M
kpi_tcp,1563368545000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563368536000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368526000000000,9.89125e+07,111280128,tcp_100M
kpi_tcp,1563368514000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563368505000000000,4.15964e+08,467966180,tcp_1000M
kpi_tcp,1563368494000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563368485000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368475000000000,9.89126e+07,111280128,tcp_100M
kpi_tcp,1563368464000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368455000000000,4.17142e+08,469291484,tcp_1000M
kpi_tcp,1563368444000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563368435000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368425000000000,9.89133e+07,111280128,tcp_100M
kpi_tcp,1563368414000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563368405000000000,3.90401e+08,439205494,tcp_1000M
kpi_tcp,1563368394000000000,1.48789e+08,185991168,tcp_150M
kpi_tcp,1563368385000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368375000000000,9.89131e+07,111280128,tcp_100M
kpi_tcp,1563368365000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368355000000000,4.18236e+08,470520932,tcp_1000M
kpi_tcp,1563368345000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563368335000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368326000000000,9.89132e+07,111280128,tcp_100M
kpi_tcp,1563368315000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563368306000000000,4.07132e+08,458031630,tcp_1000M
kpi_tcp,1563368295000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563368286000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368276000000000,9.89135e+07,111280128,tcp_100M
kpi_tcp,1563368265000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563368256000000000,4.12728e+08,464325802,tcp_1000M
kpi_tcp,1563368245000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563368236000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368226000000000,9.90302e+07,111411200,tcp_100M
kpi_tcp,1563368215000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368205000000000,3.97631e+08,447341622,tcp_1000M
kpi_tcp,1563368195000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563368185000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368176000000000,9.89132e+07,111280128,tcp_100M
kpi_tcp,1563368165000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368156000000000,4.14533e+08,466358392,tcp_1000M
kpi_tcp,1563368145000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563368136000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368126000000000,9.89132e+07,111280128,tcp_100M
kpi_tcp,1563368115000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368106000000000,3.90944e+08,439816878,tcp_1000M
kpi_tcp,1563368096000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563368086000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563368077000000000,9.89136e+07,111280128,tcp_100M
kpi_tcp,1563368066000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563368056000000000,4.03428e+08,453861558,tcp_1000M
kpi_tcp,1563368046000000000,1.48682e+08,185860096,tcp_150M
